Px_ion_1 Py_ion_1 Pz_ion_1 Px_ion_2 Py_ion_2 Pz_ion_2 Px_neutral Py_neutral Pz_neutral Px_elec_1 Py_elec_1 Pz_elec_1 Px_elec_2 Py_elec_2 Pz_elec_2
-2.544123967661704455e+00 -9.871677169010502073e-01 3.330833577677787538e+00 -2.245071718526153060e+00 2.304792732369405073e+00 -5.872535638076337605e+00 -3.349052213067784112e-01 1.041009039307919215e+00 1.373270262086876858e+00 -4.538957919368862726e+00 -2.568552052791565732e+00 4.006655455356584739e+00 4.543096558812051988e+00 7.354020475754698971e+00 3.038659150188779634e+00
-2.119012091589606683e+00 -1.220688686293419867e+00 3.876896265768110528e+00 -1.913754520918337532e+00 2.689439793040294902e+00 -5.464231251437966286e+00 -3.563901217312307468e-01 7.448495876054797016e-01 1.055541139334353673e+00 -4.475663638633949226e+00 -2.796476449644557327e+00 4.044008953485617397e+00 5.009046405023706683e+00 5.388982914409940150e+00 5.687953760471245346e+00
-1.997210973315034721e+00 -1.702890609277184497e+00 3.311943574136031021e+00 -2.748334311045358191e+00 3.238523828506522317e+00 -5.421062370852891554e+00 -9.934437035298552265e-01 8.828195962609761693e-01 4.497262231283246092e-01 -2.851321082634127091e+00 -2.699555251767172592e+00 5.553605051813264915e+00 4.133886399194170558e+00 4.210608640213350462e+00 6.548104588033002216e+00
-1.750308902892860008e+00 -3.032650638572423230e+00 2.581388414651267116e+00 -3.493352588091635624e+00 4.735191495787146820e+00 -3.185271709111266336e+00 -8.065863016453208578e-01 8.062632068835404731e-01 1.507726184102025968e+00 -3.784505543715579456e+00 -3.650668457113771304e+00 4.160291470301914707e+00 4.351628947118198809e+00 5.925925547939708160e+00 5.403480026680476556e+00
-1.246709370837020492e+00 -1.329216221907405737e+00 3.755543484650515573e+00 -2.109193960341173568e+00 4.577064125390760019e+00 -4.148642770061172769e+00 -8.249677429604391765e-01 5.294017589015975744e-01 1.110969045118352927e+00 -2.590038141069556321e+00 -4.579912864595866218e+00 3.907470657926973345e+00 4.496580562317149976e+00 4.924476106264405573e+00 6.161712307680376810e+00
-1.802055486937842455e+00 -1.771533357702736566e+00 3.435969920116063836e+00 -3.463572948209258762e+00 3.335625032243707544e+00 -3.805909582251640000e+00 -7.804710231604810033e-01 5.462438460658650685e-01 7.339517089525907645e-01 -3.214991693750412605e+00 -1.743718697995739975e+00 5.770600529474250173e+00 2.778612344307089810e+00 4.279692087918366639e+00 7.735831222920729111e+00
-1.281027906019429619e+00 -3.531516313938340090e+00 2.147581721728580195e+00 -2.606063319392768474e+00 3.635857021061863037e+00 -4.545484024602852280e+00 -5.024848946108119163e-01 6.357676753850124429e-01 1.017449920519338802e+00 -3.791565126805157782e+00 -3.278156598010109946e+00 4.828878453031246742e+00 3.089422777498315398e+00 2.660048703893597377e+00 8.194993703946021668e+00
-2.043081548057338104e+00 -2.462255729280931948e+00 2.504171742028770353e+00 -1.919698694519935911e+00 3.631679942238294156e+00 -5.025629688090305969e+00 -9.176022661823226567e-01 8.724469785733807159e-01 9.233477305514177225e-01 -4.318403727777046619e+00 -3.666239374636357518e+00 3.806447285605881969e+00 3.869110545530451972e+00 6.104308679586476494e+00 5.944525270838285635e+00
-1.284566120278698653e+00 -1.259324471529633893e+00 3.933755910156200297e+00 -3.875198660787665617e+00 1.977623092285409889e+00 -5.140109512717620177e+00 -2.683678764448266807e-01 2.748844979356997453e-01 1.528565042753401881e+00 -3.669545655157539610e+00 -4.073938430390920296e+00 4.290315147040973720e+00 5.725426609902458885e+00 4.448602355218033821e+00 5.940852097721265324e+00
-2.367522446530580638e+00 -3.011019350209016565e+00 2.304961336034851094e+00 -2.654108351227185025e+00 1.912698006634280912e+00 -5.340269151572254458e+00 -3.674914973987543076e-01 4.732959808587646755e-01 1.053397169630720720e+00 -4.533976343794537733e+00 -1.690298653080455571e+00 4.885600811687417000e+00 6.127365285551977792e+00 4.631624794305114534e+00 5.074560410664289201e+00
-2.057100641635220661e+00 -2.771367237298206110e+00 2.229967950503726648e+00 -3.299623353661019554e+00 3.179818929069682110e+00 -4.453182967121831481e+00 -9.210250087226187210e-01 5.456791705623298405e-01 1.042852370086544189e+00 -3.250225572037434674e+00 -3.940431628193913571e+00 4.518418437821003941e+00 5.195736306902704271e+00 4.838493237712948591e+00 5.771852126483226542e+00
-2.364014921538221792e+00 -1.827571034725992360e+00 2.906492787262527688e+00 -3.988408063038316076e+00 3.341280144456900025e+00 -3.509959192624029001e+00 -8.626144487816262973e-01 6.862293956390652649e-01 6.689713324109394232e-01 -2.765830254321333115e+00 -5.811300108896744199e+00 3.091547160684525508e+00 5.342914223536636698e+00 3.290277628020952250e+00 6.617300148979716745e+00
-2.495058214745930147e+00 -1.781835773399772505e+00 3.610134412592953534e+00 -2.522889323315610444e+00 2.005236423299892934e+00 -5.545414859746799152e+00 -6.584687576057756120e-01 6.602793675953227970e-01 9.912421870161827187e-01 -1.848553641357606248e+00 -2.756653225956994469e+00 6.399921945921120958e+00 4.234763883592545852e+00 3.451712084377780432e+00 7.525212990415950820e+00
-1.958299787366343692e+00 -2.393500894277229563e+00 2.923482505511993512e+00 -3.699928573150903954e+00 2.263196265321696821e+00 -5.125197187138423871e+00 -5.245542786987827943e-01 5.873226377352355199e-01 1.357084036254850634e+00 -2.520680179419778622e+00 -4.579196691045416934e+00 4.543890532630477708e+00 5.340334695660747144e+00 2.641523304887748225e+00 6.943349752592538948e+00
-2.428587207640367840e+00 -2.102172012586643213e+00 2.707171828903618405e+00 -3.439143031077359858e+00 2.547062325039098685e+00 -4.902990697657877206e+00 -6.731423837006945687e-01 6.914134645973712967e-01 1.031406744922177543e+00 -3.311977192155836747e+00 -4.174859040679113065e+00 4.257963749381318941e+00 2.328335383539934078e+00 2.675075232153433902e+00 8.674636807449841669e+00
-1.876784285486634785e+00 -1.542394199911267583e+00 3.256383249230132559e+00 -2.802738359037122873e+00 3.439761630080632848e+00 -5.032644029892662907e+00 -4.975936315532566989e-01 7.141316741365103526e-01 9.841673174895173570e-01 -3.769820718884844712e+00 -2.924963793131775791e+00 4.647349596266918681e+00 4.396928431488997369e+00 4.246444348649540679e+00 7.071743516264922924e+00
-1.518782373610409353e+00 -1.982630301054279620e+00 3.907958035461236435e+00 -2.192575704092215361e+00 3.324117419172766041e+00 -5.096156534386031112e+00 -4.518450225748197879e-01 5.435135078892090466e-01 9.969397064476510639e-01 -2.388593449834516935e+00 -3.034852709237537471e+00 5.635785860466255848e+00 3.230442385693677032e+00 5.246827460305703461e+00 6.918433824791970999e+00
-2.083631945488562565e+00 -2.559757683307239962e+00 2.650655870003451930e+00 -5.034815635699307457e+00 3.191909548960198073e+00 -2.850402731128860889e+00 -8.176359353291922094e-01 6.262159789175931746e-01 7.607978474482739450e-01 -2.637879492141809390e+00 -2.949692962815883668e+00 5.110683213957903703e+00 6.418858482531890175e+00 3.605642256577738181e+00 5.762219617829789975e+00
